iter	Logloss
0	0.6931471806
1	0.6763869182
2	0.6601596696
3	0.644447623
4	0.6292334515
5	0.6145003133
6	0.6145003133
7	0.6002318512
8	0.6002318512
9	0.5864121903
10	0.5864121903
11	0.5730259343
12	0.5730259343
13	0.5600581608
14	0.5474944153
15	0.5474944153
16	0.5353207048
17	0.5235234896
18	0.5235234896
19	0.5235234896
20	0.5120896757
21	0.5010066055
22	0.4902620487
23	0.4798441924
24	0.4697416312225	0.4599433566226	0.4599433566227	0.4599433566228	0.4504387466229	0.4412175553330	0.4322699017331	0.4322699017332	0.4235862592333	0.4151574449334	0.4151574449335	0.406974609
36	0.3990292237
