iter	Passed	Remaining
0	6	3195
1	11	2944
2	26	4412
3	41	5100
4	53	5264
5	59	4870
6	120	8489
7	139	8561
8	154	8417
9	177	8696
10	189	8439
11	197	8034
12	204	7657
13	279	9702
14	296	9594
15	306	9263
16	313	8896
17	320	8582
18	327	8288
19	408	9807
20	422	9633
21	435	9469
22	441	9156
23	446	8850
24	452	8593
25	528	9640
26	542	9511
27	560	9444
28	567	9220
29	573	8991
30	580	8775
31	671	9815
32	685	9705
33	700	9600
34	707	9393
35	713	9190
36	717	8976
37	723	8793
38	805	9522
39	823	9467
40	833	9327
41	840	9160
42	847	9012
43	854	8855
44	894	9048
45	910	8983
46	921	8877
47	927	8734
48	936	8620
49	944	8496
50	959	8449
51	970	8358
52	991	8359
53	1034	8544
54	1043	8440
55	1053	8354
56	1062	8258
57	1077	8208
58	1092	8168
59	1105	8104
60	1112	8004
61	1118	7902
62	1134	7866
63	1162	7922
64	1185	7931
65	1198	7880
66	1203	7779
67	1210	7688
68	1217	7603
69	1229	7550
70	1259	7610
71	1316	7824
72	1330	7785
73	1345	7745
74	1364	7733
75	1375	7672
76	1416	7779
77	1434	7763
78	1449	7726
79	1457	7653
80	1463	7568
81	1469	7491
82	1474	7407
83	1563	7742
84	1579	7710
85	1592	7667
86	1599	7594
87	1606	7519
88	1613	7453
89	1632	7436
90	1669	7505
91	1684	7472
92	1692	7406
93	1699	7341
94	1706	7275
95	1718	7231
96	1731	7193
97	1746	7162
98	1770	7169
99	1776	7107
100	1782	7042
101	1787	6976
102	1813	6989
103	1828	6962
104	1843	6934
105	1851	6882
106	1857	6822
107	1862	6761
108	1869	6705
109	1907	6761
110	1928	6758
112	1892	6480
113	1905	6452
114	1919	6424
115	1924	6369
116	1929	6317
117	1937	6272
118	2011	6441
119	2026	6417
120	2040	6391
121	2047	6343
121	2153	6673
122	2175	6667
123	2194	6654
124	2200	6602
126	2164	6357
127	2179	6333
128	2195	6312
128	2259	6498
130	2234	6293
131	2248	6267
132	2261	6240
133	2269	6197
133	2331	6367
134	2345	6340
135	2353	6297
136	2360	6253
137	2366	6208
138	2378	6176
139	2393	6154
140	2412	6142
141	2441	6154
142	2447	6111
143	2454	6066
145	2406	5834
146	2424	5822
147	2435	5793
148	2444	5758
148	2509	5911
149	2517	5873
150	2523	5833
152	2476	5616
153	2491	5597
154	2509	5585
155	2547	5617
156	2562	5597
157	2574	5571
157	2658	5753
158	2675	5738
159	2688	5713
160	2696	5677
161	2702	5638
162	2721	5626
163	2762	5660
164	2785	5654
165	2793	5620
166	2798	5579
167	2804	5543
168	2813	5511
169	2833	5500
170	2850	5484
171	2884	5501
172	2894	5470
173	2904	5441
174	2919	5421
175	2934	5402
176	2949	5383
177	2960	5355
178	2966	5320
179	3000	5334
180	3019	5322
181	3034	5302
182	3049	5283
183	3065	5264
184	3110	5296
185	3137	5296
186	3151	5275
187	3160	5244
188	3213	5287
189	3220	5253
190	3226	5219
191	3241	5199
192	3255	5179
193	3268	5155
194	3289	5145
195	3296	5112
196	3303	5080
197	3326	5073
198	3341	5053
199	3353	5030
200	3360	4998
201	3367	4968
202	3376	4939
203	3409	4946
204	3422	4924
205	3435	4903
206	3444	4875
207	3451	4845
208	3457	4814
209	3493	4824
210	3510	4808
211	3525	4789
212	3572	4813
213	3586	4793
214	3602	4774
215	3609	4746
216	3616	4717
217	3623	4687
218	3630	4658
219	3655	4652
220	3670	4633
221	3699	4632
222	3707	4604
223	3713	4575
